,,,,,,S,,,,,E,,,,,S,,,,,Q,,,,,S,,,,,E,,,,,S,,,,,M,,,,,S,,,,,E,,,,,S,,,,,Q,,,,,S,,,,,E,,,,,S,,,,,,
,,,,,,,,,,,,,7,,,,,,,,,,,,,,21,,,,,,,,,,,,,,35,,,,,,,,,,,,,,49,,,,,,,,,,,,,,63,,,,,,,,,,,,,
,,,,,,,,,,,,6,,8,,,,,,,,,,,,20,,22,,,,,,,,,,,,34,,36,,,,,,,,,,,,48,,50,,,,,,,,,,,,62,,64,,,,,,,,,,,,
,,,,,,,,,,,5,,,,9,,,,,,,,,,19,,,,23,,,,,,,,,,33,,,,37,,,,,,,,,,47,,,,51,,,,,,,,,,61,,,,65,,,,,,,,,,,
,,,,,,,,,,4h05,,,,,,10h15,,,,,,,,18h25,,,,,,24h35,,,,,,,,32h45,,,,,,38h55,,,,,,,,46h65,,,,,,52h75,,,,,,,,60h85,,,,,,66h95,,,,,,,,,,
,,,,,,,,,3,,,,,,,,11,,,,,,17,,,,,,,,25,,,,,,31,,,,,,,,39,,,,,,45,,,,,,,,53,,,,,,59,,,,,,,,67,,,,,,,,,
,,,,,,,,2,,,,,,,,,,12,,,,16,,,,,,,,,,26,,,,30,,,,,,,,,,40,,,,44,,,,,,,,,,54,,,,58,,,,,,,,,,68,,,,,,,,
,,,,,,,1,,,,,,,,,,,,13,,15,,,,,,,,,,,,27,,29,,,,,,,,,,,,41,,43,,,,,,,,,,,,55,,57,,,,,,,,,,,,69,,,,,,,
Q,,,,,,0,,,,,,,,,,,,,,14,,,,,,,,,,,,,,28,,,,,,,,,,,,,,42,,,,,,,,,,,,,,56,,,,,,,,,,,,,,70,,,,,,Q
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74h05,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,
M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,,M
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80h15,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,
Q,,,,,,154,,,,,,,,,,,,,,140,,,,,,,,,,,,,,126,,,,,,,,,,,,,,112,,,,,,,,,,,,,,98,,,,,,,,,,,,,,84,,,,,,Q
,,,,,,,153,,,,,,,,,,,,141,,139,,,,,,,,,,,,127,,125,,,,,,,,,,,,113,,111,,,,,,,,,,,,99,,97,,,,,,,,,,,,85,,,,,,,
,,,,,,,,152,,,,,,,,,,142,,,,138,,,,,,,,,,128,,,,124,,,,,,,,,,114,,,,110,,,,,,,,,,100,,,,96,,,,,,,,,,86,,,,,,,,
,,,,,,,,,151h05,,,,,,,,143h05,,,,,,137,,,,,,,,129,,,,,,123,,,,,,,,115,,,,,,109,,,,,,,,101,,,,,,95,,,,,,,,87,,,,,,,,,
,,,,,,,,,,150,,,,,,144,,,,,,,,136h95,,,,,,130h85,,,,,,,,122h75,,,,,,116h65,,,,,,,,108h55,,,,,,102h45,,,,,,,,94h35,,,,,,88h25,,,,,,,,,,
,,,,,,,,,,,149,,,,145,,,,,,,,,,135,,,,131,,,,,,,,,,121,,,,117,,,,,,,,,,107,,,,103,,,,,,,,,,93,,,,89,,,,,,,,,,,
,,,,,,,,,,,,148,,146,,,,,,,,,,,,134,,132,,,,,,,,,,,,120,,118,,,,,,,,,,,,106,,104,,,,,,,,,,,,92,,90,,,,,,,,,,,,
,,,,,,,,,,,,,147,,,,,,,,,,,,,,133,,,,,,,,,,,,,,119,,,,,,,,,,,,,,105,,,,,,,,,,,,,,91,,,,,,,,,,,,,
,,,,,,,,,,,S,,,,,E,,,,,S,,,,,Q,,,,,S,,,,,E,,,,,S,,,,,M,,,,,S,,,,,E,,,,,S,,,,,Q,,,,,S,,,,,E,,,,,, 
