,,,,,,S,,,,,E,,,,,S,,,,,Q,,,,,S,,,,,E,,,,,S,,,,,M,,,,,S,,,,,E,,,,,S,,,,,Q,,,,,S,,,,,E,,,,,S,,,,,,
,0,,,,,27,,28,29,,30,,,,,57,,58,59,,60,,,,,87,,88,89,,90,,,,,117,,118,119,,120,,,,,147,,148,149,,150,,,,,177,,178,179,,180,,,,,207,,208,209,,210,,,,,237,,238,239,,240,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,26,,,,,31,,,,,56,,,,,61,,,,,86,,,,,91,,,,,116,,,,,121,,,,,146,,,,,151,,,,,176,,,,,181,,,,,206,,,,,211,,,,,236,,,,,241,
,2,,,,,25,,,,,32,,,,,55,,,,,62,,,,,85,,,,,92,,,,,115,,,,,122,,,,,145,,,,,152,,,,,175,,,,,182,,,,,205,,,,,212,,,,,235,,,,,242,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q,3,,,,,24,,,,,33,,,,,54,,,,,63,,,,,84,,,,,93,,,,,114,,,,,123,,,,,144,,,,,153,,,,,174,,,,,183,,,,,204,,,,,213,,,,,234,,,,,243,Q
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,23,,,,,34,,,,,53,,,,,64,,,,,83,,,,,94,,,,,113,,,,,124,,,,,143,,,,,154,,,,,173,,,,,184,,,,,203,,,,,214,,,,,233,,,,,244,
,5,,,,,22,,,,,35,,,,,52,,,,,65,,,,,82,,,,,95,,,,,112,,,,,125,,,,,142,,,,,155,,,,,172,,,,,185,,,,,202,,,,,215,,,,,232,,,,,245,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,6,,,,,21,,,,,36,,,,,51,,,,,66,,,,,81,,,,,96,,,,,111,,,,,126,,,,,141,,,,,156,,,,,171,,,,,186,,,,,201,,,,,216,,,,,231,,,,,246,M
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,20,,,,,37,,,,,50,,,,,67,,,,,80,,,,,97,,,,,110,,,,,127,,,,,140,,,,,157,,,,,170,,,,,187,,,,,200,,,,,217,,,,,230,,,,,247,
,8,,,,,19,,,,,38,,,,,49,,,,,68,,,,,79,,,,,98,,,,,109,,,,,128,,,,,139,,,,,158,,,,,169,,,,,188,,,,,199,,,,,218,,,,,229,,,,,248,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q,9,,,,,18,,,,,39,,,,,48,,,,,69,,,,,78,,,,,99,,,,,108,,,,,129,,,,,138,,,,,159,,,,,168,,,,,189,,,,,198,,,,,219,,,,,228,,,,,249,Q
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,,,,17,,,,,40,,,,,47,,,,,70,,,,,77,,,,,100,,,,,107,,,,,130,,,,,137,,,,,160,,,,,167,,,,,190,,,,,197,,,,,220,,,,,227,,,,,250,
,11,,,,,16,,,,,41,,,,,46,,,,,71,,,,,76,,,,,101,,,,,106,,,,,131,,,,,136,,,,,161,,,,,166,,,,,191,,,,,196,,,,,221,,,,,226,,,,,251,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,,13,14,,15,,,,,42,,43,44,,45,,,,,72,,73,74,,75,,,,,102,,103,104,,105,,,,,132,,133,134,,135,,,,,162,,163,164,,165,,,,,192,,193,194,,195,,,,,222,,223,224,,225,,,,,252,
,,,,,,S,,,,,E,,,,,S,,,,,Q,,,,,S,,,,,E,,,,,S,,,,,M,,,,,S,,,,,E,,,,,S,,,,,Q,,,,,S,,,,,E,,,,,S,,,,,,
